ID	DeviceSerial	Vin	MessageType	ReportType	MsgNum	TripState	ReceivedTimestamp	Latitude	Longitude	MessageXML	ProcessedTimestamp	IsProcessed	CollectionTimestamp	ManufacturerSerial
919798420	1088214013		GPS	NoMoveTimeout	30490	N/A	56:50.4	49.15586853	-123.0171585	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30490"" TripState=""N/A"" VIN="""" Latitude=""49.15587"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T15:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919766456	1088214013		GPS	NoMoveTimeout	30489	N/A	56:50.3	49.15589905	-123.017189	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30489"" TripState=""N/A"" VIN="""" Latitude=""49.1559"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T14:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919734370	1088214013		GPS	NoMoveTimeout	30488	N/A	56:50.3	49.1558609	-123.0171738	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30488"" TripState=""N/A"" VIN="""" Latitude=""49.15586"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T13:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919703742	1088214013		GPS	NoMoveTimeout	30487	N/A	56:50.4	49.15590286	-123.0171738	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30487"" TripState=""N/A"" VIN="""" Latitude=""49.1559"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T12:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919831034	1088214013		GPS	NoMoveTimeout	30491	N/A	56:50.1	49.15586472	-123.0171738	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30491"" TripState=""N/A"" VIN="""" Latitude=""49.15586"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T16:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919864253	1088214013		GPS	NoMoveTimeout	30492	N/A	56:50.5	49.15587234	-123.0172653	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30492"" TripState=""N/A"" VIN="""" Latitude=""49.15587"" Longitude=""-123.0173""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T17:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919895566	1088214013		GPS	NoMoveTimeout	30493	N/A	56:50.7	49.15586853	-123.0172272	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30493"" TripState=""N/A"" VIN="""" Latitude=""49.15587"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T18:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919925312	1088214013		GPS	NoMoveTimeout	30494	N/A	56:50.0	49.15586853	-123.0171967	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30494"" TripState=""N/A"" VIN="""" Latitude=""49.15587"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T19:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
919977179	1088214013		GPS	NoMoveTimeout	30496	N/A	56:50.5	49.15589905	-123.0171585	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30496"" TripState=""N/A"" VIN="""" Latitude=""49.1559"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T21:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
920001694	1088214013		GPS	NoMoveTimeout	30497	N/A	56:49.8	49.15587234	-123.0171585	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30497"" TripState=""N/A"" VIN="""" Latitude=""49.15587"" Longitude=""-123.0172""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T22:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
920022219	1088214013		GPS	NoMoveTimeout	30498	N/A	56:49.8	49.15591812	-123.0172653	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1088214013"" MsgNum=""30498"" TripState=""N/A"" VIN="""" Latitude=""49.15592"" Longitude=""-123.0173""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>243.8</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T23:56:58</CollectionTimestamp><TotalDistance>26106.454749393448</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	56:58.0	821623
