ID	DeviceSerial	Vin	MessageType	ReportType	MsgNum	TripState	ReceivedTimestamp	Latitude	Longitude	MessageXML	ProcessedTimestamp	IsProcessed	CollectionTimestamp	ManufacturerSerial
919761093	1084068111		GPS	NoMoveTimeout	54563	N/A	46:21.1	43.66933441	-79.66712189	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54563"" TripState=""N/A"" VIN="""" Latitude=""43.66933"" Longitude=""-79.66712""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T14:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919728834	1084068111		GPS	NoMoveTimeout	54562	N/A	46:21.3	43.6693306	-79.66713715	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54562"" TripState=""N/A"" VIN="""" Latitude=""43.66933"" Longitude=""-79.66714""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T13:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919792630	1084068111		GPS	NoMoveTimeout	54564	N/A	46:21.2	43.66932678	-79.66708374	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54564"" TripState=""N/A"" VIN="""" Latitude=""43.66933"" Longitude=""-79.66708""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T15:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919825090	1084068111		GPS	NoMoveTimeout	54565	N/A	46:21.4	43.66930008	-79.66709137	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54565"" TripState=""N/A"" VIN="""" Latitude=""43.6693"" Longitude=""-79.66709""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T16:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919858505	1084068111		GPS	NoMoveTimeout	54566	N/A	46:21.1	43.66934204	-79.66710663	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54566"" TripState=""N/A"" VIN="""" Latitude=""43.66934"" Longitude=""-79.66711""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T17:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919890238	1084068111		GPS	NoMoveTimeout	54567	N/A	46:20.9	43.66931534	-79.66712189	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54567"" TripState=""N/A"" VIN="""" Latitude=""43.66932"" Longitude=""-79.66712""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T18:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919920044	1084068111		GPS	NoMoveTimeout	54568	N/A	46:20.9	43.66932678	-79.667099	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54568"" TripState=""N/A"" VIN="""" Latitude=""43.66933"" Longitude=""-79.6671""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T19:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919948533	1084068111		GPS	NoMoveTimeout	54569	N/A	46:20.8	43.66932678	-79.66713715	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54569"" TripState=""N/A"" VIN="""" Latitude=""43.66933"" Longitude=""-79.66714""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T20:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
919972994	1084068111		GPS	NoMoveTimeout	54570	N/A	46:20.8	43.66931915	-79.66713715	"<GPSData ReportType=""NoMoveTimeout"" DeviceSerial=""1084068111"" MsgNum=""54570"" TripState=""N/A"" VIN="""" Latitude=""43.66932"" Longitude=""-79.66714""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>41</Course><GPSMessageNumber /><Speed>0</Speed><CollectionTimestamp>2018-12-22T21:46:29</CollectionTimestamp><TotalDistance>257126.51729435145</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>"	NULL	0	46:29.0	820366
925963056	1084068111		IOState	N/A	20207	N/A	21:37.2	NULL	NULL	"<IOState ReportType=""N/A"" DeviceSerial=""1084068111"" MsgNum=""20207"" TripState=""N/A"" VIN="""" Latitude="""" Longitude=""""><IOStateData><A2D>0</A2D><TimeStamp>2019-01-02T13:21:10</TimeStamp><Speed /><ATModeVibrationState /><Course /><TotalDistance /><GpsType /><Diagnostic>1</Diagnostic><DryInput id=""1"">0</DryInput><DryInput id=""2"">0</DryInput><DryInput id=""5"">0</DryInput><DryInput id=""6"">0</DryInput><OutputState id=""1"">0</OutputState></IOStateData></IOState>"	NULL	0	21:37.2	820366
